20,54,88,101,102,106,116,125,127,132,152,164,181,188,193,208,209,212,221,224,239,252,253,259,272,306,310,315,337,357
Winter,Spring,Spring,Winter,Spring,Spring,Spring,Spring,Winter,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring
Spring,Spring,Spring,Summer,Summer,Spring,Summer,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Summer,Spring,Summer,Summer,Summer,Spring,Spring,Summer,Summer,Spring,Spring,Spring,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall
Fall,Fall,Winter,Winter,Fall,Winter,Fall,Fall,Winter,Winter,Fall,Fall,Fall,Fall,Fall,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Fall,Winter,Fall,Fall,Winter,Fall,Winter
Winter,Spring,Winter,Winter,Winter,Winter,Spring,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Spring,Spring,Winter,Winter,Winter,Winter,Winter,Spring,Winter,Winter,Winter
Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring
Summer,Spring,Summer,Summer,Spring,Spring,Summer,Summer,Summer,Spring,Summer,Summer,Summer,Summer,Spring,Summer,Summer,Summer,Spring,Summer,Summer,Summer,Summer,Spring,Summer,Summer,Spring,Spring,Summer,Summer
Summer,Fall,Summer,Summer,Summer,Fall,Summer,Summer,Summer,Summer,Summer,Summer,Fall,Summer,Summer,Summer,Summer,Fall,Fall,Summer,Fall,Fall,Summer,Fall,Summer,Summer,Fall,Fall,Summer,Fall
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall
Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Fall,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter,Winter
Winter,Spring,Spring,Winter,Winter,Winter,Spring,Spring,Winter,Spring,Spring,Spring,Spring,Spring,Winter,Spring,Spring,Spring,Spring,Spring,Spring,Winter,Winter,Spring,Winter,Spring,Winter,Spring,Winter,Spring
Spring,Spring,Summer,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Summer,Spring,Spring,Spring,Spring,Spring,Summer,Summer,Spring,Spring,Spring,Spring,Spring
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Fall,Summer,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Summer,Fall,Fall,Summer,Summer,Fall,Fall,Summer,Summer,Fall,Summer,Fall,Fall,Summer,Fall,Fall,Fall,Fall,Fall,Summer,Fall
Fall,Fall,Winter,Fall,Fall,Fall,Fall,Fall,Winter,Fall,Fall,Fall,Fall,Fall,Fall,Winter,Fall,Winter,Fall,Winter,Fall,Fall,Winter,Fall,Fall,Fall,Winter,Fall,Winter,Winter
