33,20,103,70,106,81,75,104,110,14,18,72,8,111,83,71,30,55,40,77,94,35,54,58,91,10,63,68,86,50
1175,264,1587,1346,1163,805,1843,1333,505,715,1403,1232,339,293,859,608,607,171,287,703,1349,680,1796,750,926,1623,623,375,386,569
2446,4164,3065,3492,3295,2366,3032,3571,2467,2349,2273,3096,4062,4106,2344,3897,2387,2496,4182,2571,2716,3270,2979,2427,4135,4176,3051,4136,2293,2529
6054,4478,6127,4700,6005,4266,4443,4384,4669,4758,5119,4658,5858,4721,5736,5383,5931,4642,6308,6295,4873,5569,5465,4553,4295,4787,4776,5322,6332,6221
6706,7003,7714,6447,7883,7247,7239,7296,6496,7335,6469,6688,7480,7326,8183,7226,8279,7681,6504,7221,6528,7980,7429,7924,6437,7593,7383,8066,7876,8305
9472,9294,8773,9208,10222,10611,9813,8738,9986,9492,9564,9712,8754,9505,9360,9636,9225,9343,9334,9302,10213,8690,10604,10238,9003,8541,10362,9652,8889,10028
11904,12222,12455,11814,12224,11475,12341,11450,12757,12316,12616,11550,11936,10898,12501,12321,11657,10984,11593,12032,12132,12115,12623,11873,11864,11808,12593,10671,12694,10815
13801,13436,14177,13664,12959,13810,14225,14356,13394,13412,14429,14253,14206,12816,14607,13930,14415,14637,12961,14562,13730,14651,14680,13392,13276,13799,12845,14151,13287,12849
16616,15525,15873,16825,15314,16581,17035,16960,15762,16827,16013,15673,15754,15058,15891,15226,15185,15984,16991,16621,16768,15776,16397,16035,15983,16212,16788,15020,15001,17030
18172,18836,17690,17066,17845,19046,17247,17419,17657,17570,17566,18964,18925,18208,18638,17832,18482,18912,18551,18556,17126,18545,17641,18169,18054,18867,18264,18279,18879,17457
20474,20152,19384,20973,21258,20336,19916,19794,20242,20830,19990,20356,19766,19381,20611,20252,19324,19959,21151,19609,21151,20419,19983,21123,19952,20190,19703,20609,21196,19497
21528,21651,22793,21386,21641,22783,23299,23384,22633,21413,23215,22209,22881,23356,21708,22613,22825,21947,23327,23044,22816,22043,23207,21486,22078,23169,21569,22744,21430,22744
24388,24290,23916,24604,24337,24920,24788,24491,23902,25401,24882,24491,24052,25551,24971,23655,25379,24052,23834,24932,23536,24541,24054,23517,24358,25038,25038,25344,24981,25303
25578,26301,27579,27162,25744,27608,26341,27210,27021,26279,26672,26761,27215,26158,25975,27503,26692,26571,26627,26252,26651,27098,25725,25664,25854,26440,25863,27518,25947,25614
28579,27929,28401,27792,28105,28646,29164,28566,29612,28698,27825,29097,28557,28957,29551,29221,27767,28175,27776,29269,27691,29724,28737,29632,29776,28245,27952,29506,29258,29019
29966,30854,31887,31922,31793,31919,30946,31216,31748,30691,30128,31822,31027,30803,31625,30219,29986,30278,31104,31303,31918,30388,31425,31261,29835,31392,29991,30646,30177,30656
33051,33947,32496,33349,32524,33816,33087,33352,33989,32425,32851,34055,32493,32613,33031,33655,33137,32007,32323,32447,32122,32242,33087,33498,33160,33243,33771,33405,33472,32000
